Object,Locations
sponge,"{1: ('utility room', 1.0), 2: ('bedroom', 1.0), 3: ('childs room', 1.0), 4: ('kitchen', 1.0), 5: ('home office', 1.0), 6: ('lobby', 1.0), 7: ('garage', 1.0), 8: ('exercise room', 1.0), 9: ('storage room', 1.0), 10: ('closet', 1.0), 11: ('dining room', 1.0), 12: ('pantry room', 1.0), 13: ('playroom', 1.0), 14: ('living room', 1.0), 15: ('television room', 1.0), 16: ('corridor', 1.0), 17: ('bathroom', 1.0)}"
sponge dish,"{1: ('exercise room', 1.0), 2: ('dining room', 1.0), 3: ('storage room', 1.0), 4: ('lobby', 1.0), 5: ('closet', 1.0), 6: ('playroom', 1.0), 7: ('childs room', 1.0), 8: ('television room', 1.0), 9: ('bedroom', 1.0), 10: ('utility room', 1.0), 11: ('living room', 1.0), 12: ('home office', 1.0), 13: ('corridor', 1.0), 14: ('kitchen', 1.0), 15: ('pantry room', 1.0), 16: ('bathroom', 1.0), 17: ('garage', 1.0)}"
spoon,"{1: ('kitchen', 2.75), 2: ('lobby', 1.0), 3: ('storage room', 1.0), 4: ('corridor', 1.0), 5: ('bedroom', 1.0), 6: ('dining room', 1.0), 7: ('garage', 1.0), 8: ('childs room', 1.0), 9: ('television room', 1.0), 10: ('bathroom', 1.0), 11: ('exercise room', 1.0), 12: ('utility room', 1.0), 13: ('pantry room', 1.0), 14: ('closet', 1.0), 15: ('living room', 1.0), 16: ('playroom', 1.0), 17: ('home office', 1.0)}"
spoon rest,"{1: ('childs room', 1.0), 2: ('utility room', 1.0), 3: ('pantry room', 1.0), 4: ('playroom', 1.0), 5: ('home office', 1.0), 6: ('kitchen', 1.0), 7: ('television room', 1.0), 8: ('exercise room', 1.0), 9: ('closet', 1.0), 10: ('corridor', 1.0), 11: ('living room', 1.0), 12: ('bedroom', 1.0), 13: ('dining room', 1.0), 14: ('garage', 1.0), 15: ('lobby', 1.0), 16: ('bathroom', 1.0), 17: ('storage room', 1.0)}"
spraybottle,"{1: ('kitchen', 1.0), 2: ('bathroom', 1.0)}"
stacking cups,"{1: ('closet', 1.0), 2: ('exercise room', 1.0), 3: ('bathroom', 1.0), 4: ('playroom', 1.0), 5: ('utility room', 1.0), 6: ('home office', 1.0), 7: ('pantry room', 1.0), 8: ('kitchen', 1.0), 9: ('garage', 1.0), 10: ('living room', 1.0), 11: ('television room', 1.0), 12: ('bedroom', 1.0), 13: ('lobby', 1.0), 14: ('corridor', 1.0), 15: ('storage room', 1.0), 16: ('dining room', 1.0), 17: ('childs room', 1.0)}"
stand mixer,"{1: ('bathroom', 1.0), 2: ('playroom', 1.0), 3: ('bedroom', 1.0), 4: ('garage', 1.0), 5: ('living room', 1.0), 6: ('storage room', 1.0), 7: ('utility room', 1.0), 8: ('television room', 1.0), 9: ('kitchen', 1.0), 10: ('pantry room', 1.0), 11: ('home office', 1.0), 12: ('exercise room', 1.0), 13: ('lobby', 1.0), 14: ('closet', 1.0), 15: ('childs room', 1.0), 16: ('corridor', 1.0), 17: ('dining room', 1.0)}"
statue,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0)}"
steak,"{1: ('oven', 1.0), 2: ('freezer', 1.0)}"
stool,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0)}"
storage bin,"{1: ('storage room', 1.0), 2: ('bathroom', 1.0), 3: ('home office', 1.0), 4: ('utility room', 1.0), 5: ('exercise room', 1.0), 6: ('closet', 1.0), 7: ('dining room', 1.0), 8: ('television room', 1.0), 9: ('playroom', 1.0), 10: ('corridor', 1.0), 11: ('garage', 1.0), 12: ('pantry room', 1.0), 13: ('lobby', 1.0), 14: ('bedroom', 1.0), 15: ('childs room', 1.0), 16: ('kitchen', 1.0), 17: ('living room', 1.0)}"
stoveburner,"{1: ('kitchen', 1.0)}"
stoveknob,"{1: ('kitchen', 1.0)}"
strawberry,"{1: ('kitchen', 1.0), 2: ('lobby', 1.0), 3: ('bedroom', 1.0), 4: ('utility room', 1.0), 5: ('bathroom', 1.0), 6: ('playroom', 1.0), 7: ('home office', 1.0), 8: ('living room', 1.0), 9: ('childs room', 1.0), 10: ('corridor', 1.0), 11: ('closet', 1.0), 12: ('television room', 1.0), 13: ('storage room', 1.0), 14: ('dining room', 1.0), 15: ('pantry room', 1.0), 16: ('garage', 1.0), 17: ('exercise room', 1.0)}"
string lights,"{1: ('corridor', 1.0), 2: ('childs room', 1.0), 3: ('television room', 1.0), 4: ('closet', 1.0), 5: ('bathroom', 1.0), 6: ('dining room', 1.0), 7: ('lobby', 1.0), 8: ('home office', 1.0), 9: ('living room', 1.0), 10: ('storage room', 1.0), 11: ('kitchen', 1.0), 12: ('exercise room', 1.0), 13: ('playroom', 1.0), 14: ('pantry room', 1.0), 15: ('bedroom', 1.0), 16: ('garage', 1.0), 17: ('utility room', 1.0)}"
stuffed toy,"{1: ('childs room', 1.0), 2: ('garage', 1.0), 3: ('exercise room', 1.0), 4: ('utility room', 1.0), 5: ('dining room', 1.0), 6: ('bathroom', 1.0), 7: ('living room', 1.0), 8: ('corridor', 1.0), 9: ('closet', 1.0), 10: ('kitchen', 1.0), 11: ('bedroom', 1.0), 12: ('pantry room', 1.0), 13: ('storage room', 1.0), 14: ('television room', 1.0), 15: ('home office', 1.0), 16: ('lobby', 1.0), 17: ('playroom', 1.0)}"
sugar box,"{1: ('playroom', 1.0), 2: ('garage', 1.0), 3: ('corridor', 1.0), 4: ('bedroom', 1.0), 5: ('pantry room', 1.0), 6: ('bathroom', 1.0), 7: ('exercise room', 1.0), 8: ('home office', 1.0), 9: ('utility room', 1.0), 10: ('dining room', 1.0), 11: ('television room', 1.0), 12: ('living room', 1.0), 13: ('storage room', 1.0), 14: ('kitchen', 1.0), 15: ('childs room', 1.0), 16: ('lobby', 1.0), 17: ('closet', 1.0)}"
sugar sprinkles,"{1: ('playroom', 1.0), 2: ('bathroom', 1.0), 3: ('living room', 1.0), 4: ('kitchen', 1.0), 5: ('corridor', 1.0), 6: ('television room', 1.0), 7: ('lobby', 1.0), 8: ('bedroom', 1.0), 9: ('utility room', 1.0), 10: ('storage room', 1.0), 11: ('pantry room', 1.0), 12: ('closet', 1.0), 13: ('dining room', 1.0), 14: ('home office', 1.0), 15: ('exercise room', 1.0), 16: ('childs room', 1.0), 17: ('garage', 1.0)}"
surface saver ring,"{1: ('television room', 1.0), 2: ('living room', 1.0), 3: ('lobby', 1.0), 4: ('dining room', 1.0), 5: ('childs room', 1.0), 6: ('garage', 1.0), 7: ('bathroom', 1.0), 8: ('kitchen', 1.0), 9: ('storage room', 1.0), 10: ('utility room', 1.0), 11: ('corridor', 1.0), 12: ('exercise room', 1.0), 13: ('bedroom', 1.0), 14: ('playroom', 1.0), 15: ('closet', 1.0), 16: ('home office', 1.0), 17: ('pantry room', 1.0)}"
sushi mat,"{1: ('home office', 1.0), 2: ('exercise room', 1.0), 3: ('bathroom', 1.0), 4: ('closet', 1.0), 5: ('corridor', 1.0), 6: ('storage room', 1.0), 7: ('pantry room', 1.0), 8: ('lobby', 1.0), 9: ('childs room', 1.0), 10: ('utility room', 1.0), 11: ('playroom', 1.0), 12: ('television room', 1.0), 13: ('living room', 1.0), 14: ('kitchen', 1.0), 15: ('dining room', 1.0), 16: ('bedroom', 1.0), 17: ('garage', 1.0)}"
table,"{1: ('kitchen', 1.0), 2: ('bedroom', 1.0), 3: ('room', 1.0)}"
table lamp,"{1: ('television room', 1.0), 2: ('bedroom', 1.0), 3: ('lobby', 1.0), 4: ('bathroom', 1.0), 5: ('closet', 1.0), 6: ('pantry room', 1.0), 7: ('exercise room', 1.0), 8: ('utility room', 1.0), 9: ('dining room', 1.0), 10: ('home office', 1.0), 11: ('garage', 1.0), 12: ('living room', 1.0), 13: ('corridor', 1.0), 14: ('kitchen', 1.0), 15: ('storage room', 1.0), 16: ('childs room', 1.0), 17: ('playroom', 1.0)}"
tablet,"{1: ('storage room', 1.0), 2: ('garage', 1.0), 3: ('television room', 1.0), 4: ('closet', 1.0), 5: ('utility room', 1.0), 6: ('bedroom', 1.0), 7: ('playroom', 1.0), 8: ('living room', 1.0), 9: ('exercise room', 1.0), 10: ('dining room', 1.0), 11: ('home office', 1.0), 12: ('childs room', 1.0), 13: ('kitchen', 1.0), 14: ('corridor', 1.0), 15: ('pantry room', 1.0), 16: ('bathroom', 1.0), 17: ('lobby', 1.0)}"
tablet holder,"{1: ('childs room', 1.0), 2: ('closet', 1.0), 3: ('storage room', 1.0), 4: ('kitchen', 1.0), 5: ('living room', 1.0), 6: ('garage', 1.0), 7: ('pantry room', 1.0), 8: ('exercise room', 1.0), 9: ('utility room', 1.0), 10: ('playroom', 1.0), 11: ('television room', 1.0), 12: ('corridor', 1.0), 13: ('lobby', 1.0), 14: ('bedroom', 1.0), 15: ('home office', 1.0), 16: ('dining room', 1.0), 17: ('bathroom', 1.0)}"
tablet stand,"{1: ('corridor', 1.0), 2: ('childs room', 1.0), 3: ('home office', 1.0), 4: ('storage room', 1.0), 5: ('television room', 1.0), 6: ('exercise room', 1.0), 7: ('pantry room', 1.0), 8: ('lobby', 1.0), 9: ('dining room', 1.0), 10: ('kitchen', 1.0), 11: ('bedroom', 1.0), 12: ('utility room', 1.0), 13: ('closet', 1.0), 14: ('playroom', 1.0), 15: ('living room', 1.0), 16: ('bathroom', 1.0), 17: ('garage', 1.0)}"
tabletopdecor,"{1: ('bedroom', 1.0)}"
tampon,"{1: ('bedroom', 1.0), 2: ('childs room', 1.0), 3: ('storage room', 1.0), 4: ('living room', 1.0), 5: ('utility room', 1.0), 6: ('lobby', 1.0), 7: ('home office', 1.0), 8: ('playroom', 1.0), 9: ('pantry room', 1.0), 10: ('corridor', 1.0), 11: ('kitchen', 1.0), 12: ('exercise room', 1.0), 13: ('television room', 1.0), 14: ('bathroom', 1.0), 15: ('dining room', 1.0), 16: ('garage', 1.0), 17: ('closet', 1.0)}"
tea can pack,"{1: ('closet', 1.0), 2: ('garage', 1.0), 3: ('utility room', 1.0), 4: ('corridor', 1.0), 5: ('storage room', 1.0), 6: ('exercise room', 1.0), 7: ('bathroom', 1.0), 8: ('childs room', 1.0), 9: ('living room', 1.0), 10: ('lobby', 1.0), 11: ('playroom', 1.0), 12: ('pantry room', 1.0), 13: ('home office', 1.0), 14: ('dining room', 1.0), 15: ('bedroom', 1.0), 16: ('television room', 1.0), 17: ('kitchen', 1.0)}"
tea pods,"{1: ('closet', 1.0), 2: ('pantry room', 1.0), 3: ('television room', 1.0), 4: ('living room', 1.0), 5: ('lobby', 1.0), 6: ('exercise room', 1.0), 7: ('playroom', 1.0), 8: ('bathroom', 1.0), 9: ('bedroom', 1.0), 10: ('dining room', 1.0), 11: ('kitchen', 1.0), 12: ('storage room', 1.0), 13: ('home office', 1.0), 14: ('childs room', 1.0), 15: ('utility room', 1.0), 16: ('garage', 1.0), 17: ('corridor', 1.0)}"
teapot,"{1: ('dining room', 1.0), 2: ('bedroom', 1.0), 3: ('kitchen', 1.0), 4: ('closet', 1.0), 5: ('playroom', 1.0), 6: ('utility room', 1.0), 7: ('storage room', 1.0), 8: ('living room', 1.0), 9: ('television room', 1.0), 10: ('home office', 1.0), 11: ('bathroom', 1.0), 12: ('pantry room', 1.0), 13: ('exercise room', 1.0), 14: ('garage', 1.0), 15: ('corridor', 1.0), 16: ('childs room', 1.0), 17: ('lobby', 1.0)}"
teddybear,"{1: ('bedroom', 1.0)}"
television,"{1: ('living room', 1.5), 2: ('bedroom', 1.5)}"
tennis ball,"{1: ('closet', 1.0), 2: ('playroom', 1.0), 3: ('corridor', 1.0), 4: ('dining room', 1.0), 5: ('television room', 1.0), 6: ('home office', 1.0), 7: ('kitchen', 1.0), 8: ('living room', 1.0), 9: ('bedroom', 1.0), 10: ('pantry room', 1.0), 11: ('utility room', 1.0), 12: ('bathroom', 1.0), 13: ('garage', 1.0), 14: ('storage room', 1.0), 15: ('childs room', 1.0), 16: ('lobby', 1.0), 17: ('exercise room', 1.0)}"
tennisracket,"{1: ('bedroom', 1.0)}"
tissuebox,"{1: ('living room', 1.0), 2: ('bedroom', 1.0), 3: ('bathroom', 1.0)}"
toaster,"{1: ('kitchen', 2.0), 2: ('lobby', 1.0), 3: ('garage', 1.0), 4: ('closet', 1.0), 5: ('bedroom', 1.0), 6: ('pantry room', 1.0), 7: ('bathroom', 1.0), 8: ('corridor', 1.0), 9: ('playroom', 1.0), 10: ('home office', 1.0), 11: ('television room', 1.0), 12: ('utility room', 1.0), 13: ('exercise room', 1.0), 14: ('storage room', 1.0), 15: ('childs room', 1.0), 16: ('dining room', 1.0), 17: ('living room', 1.0)}"
toilet,"{1: ('bathroom', 2.0)}"
toiletpaper,"{1: ('bathroom', 1.0)}"
toiletpaperhanger,"{1: ('bathroom', 1.0)}"
tomato,"{1: ('kitchen', 1.0)}"
tomato soup can,"{1: ('television room', 1.0), 2: ('utility room', 1.0), 3: ('kitchen', 1.0), 4: ('exercise room', 1.0), 5: ('living room', 1.0), 6: ('lobby', 1.0), 7: ('bathroom', 1.0), 8: ('closet', 1.0), 9: ('storage room', 1.0), 10: ('corridor', 1.0), 11: ('home office', 1.0), 12: ('playroom', 1.0), 13: ('childs room', 1.0), 14: ('bedroom', 1.0), 15: ('pantry room', 1.0), 16: ('dining room', 1.0), 17: ('garage', 1.0)}"
toothbrush holder,"{1: ('pantry room', 1.0), 2: ('childs room', 1.0), 3: ('television room', 1.0), 4: ('kitchen', 1.0), 5: ('storage room', 1.0), 6: ('bathroom', 1.0), 7: ('dining room', 1.0), 8: ('playroom', 1.0), 9: ('closet', 1.0), 10: ('bedroom', 1.0), 11: ('corridor', 1.0), 12: ('living room', 1.0), 13: ('garage', 1.0), 14: ('utility room', 1.0), 15: ('home office', 1.0), 16: ('exercise room', 1.0), 17: ('lobby', 1.0)}"
toothbrush pack,"{1: ('playroom', 1.0), 2: ('kitchen', 1.0), 3: ('television room', 1.0), 4: ('corridor', 1.0), 5: ('dining room', 1.0), 6: ('closet', 1.0), 7: ('bathroom', 1.0), 8: ('bedroom', 1.0), 9: ('storage room', 1.0), 10: ('pantry room', 1.0), 11: ('lobby', 1.0), 12: ('living room', 1.0), 13: ('garage', 1.0), 14: ('exercise room', 1.0), 15: ('utility room', 1.0), 16: ('childs room', 1.0), 17: ('home office', 1.0)}"
towel,"{1: ('bathroom', 2.0), 2: ('television room', 1.0), 3: ('living room', 1.0), 4: ('garage', 1.0), 5: ('lobby', 1.0), 6: ('exercise room', 1.0), 7: ('utility room', 1.0), 8: ('childs room', 1.0), 9: ('home office', 1.0), 10: ('pantry room', 1.0), 11: ('corridor', 1.0), 12: ('closet', 1.0), 13: ('bedroom', 1.0), 14: ('storage room', 1.0), 15: ('playroom', 1.0), 16: ('dining room', 1.0), 17: ('kitchen', 1.0)}"
towelholder,"{1: ('bathroom', 1.0)}"
toy,"{1: ('box', 1.0)}"
toy airplane,"{1: ('dining room', 1.0), 2: ('bedroom', 1.0), 3: ('television room', 1.0), 4: ('bathroom', 1.0), 5: ('lobby', 1.0), 6: ('living room', 1.0), 7: ('kitchen', 1.0), 8: ('exercise room', 1.0), 9: ('playroom', 1.0), 10: ('home office', 1.0), 11: ('utility room', 1.0), 12: ('closet', 1.0), 13: ('storage room', 1.0), 14: ('childs room', 1.0), 15: ('pantry room', 1.0), 16: ('garage', 1.0), 17: ('corridor', 1.0)}"
toy animal,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('utility room', 1.0), 4: ('playroom', 1.0), 5: ('home office', 1.0), 6: ('bedroom', 1.0), 7: ('television room', 1.0), 8: ('storage room', 1.0), 9: ('bathroom', 1.0), 10: ('garage', 1.0), 11: ('corridor', 1.0), 12: ('exercise room', 1.0), 13: ('lobby', 1.0), 14: ('childs room', 1.0), 15: ('dining room', 1.0), 16: ('pantry room', 1.0), 17: ('closet', 1.0)}"
toy basketball,"{1: ('childs room', 1.0), 2: ('utility room', 1.0), 3: ('pantry room', 1.0), 4: ('playroom', 1.0), 5: ('home office', 1.0), 6: ('kitchen', 1.0), 7: ('television room', 1.0), 8: ('exercise room', 1.0), 9: ('closet', 1.0), 10: ('corridor', 1.0), 11: ('living room', 1.0), 12: ('bedroom', 1.0), 13: ('dining room', 1.0), 14: ('garage', 1.0), 15: ('lobby', 1.0), 16: ('bathroom', 1.0), 17: ('storage room', 1.0)}"
toy bowling set,"{1: ('playroom', 1.0), 2: ('pantry room', 1.0), 3: ('storage room', 1.0), 4: ('television room', 1.0), 5: ('bedroom', 1.0), 6: ('garage', 1.0), 7: ('closet', 1.0), 8: ('bathroom', 1.0), 9: ('exercise room', 1.0), 10: ('home office', 1.0), 11: ('childs room', 1.0), 12: ('living room', 1.0), 13: ('utility room', 1.0), 14: ('kitchen', 1.0), 15: ('corridor', 1.0), 16: ('dining room', 1.0), 17: ('lobby', 1.0)}"
toy construction set,"{1: ('closet', 1.0), 2: ('pantry room', 1.0), 3: ('television room', 1.0), 4: ('living room', 1.0), 5: ('lobby', 1.0), 6: ('exercise room', 1.0), 7: ('playroom', 1.0), 8: ('bathroom', 1.0), 9: ('bedroom', 1.0), 10: ('dining room', 1.0), 11: ('kitchen', 1.0), 12: ('storage room', 1.0), 13: ('home office', 1.0), 14: ('childs room', 1.0), 15: ('utility room', 1.0), 16: ('garage', 1.0), 17: ('corridor', 1.0)}"
toy fishing,"{1: ('home office', 1.0), 2: ('exercise room', 1.0), 3: ('childs room', 1.0), 4: ('closet', 1.0), 5: ('lobby', 1.0), 6: ('dining room', 1.0), 7: ('garage', 1.0), 8: ('pantry room', 1.0), 9: ('playroom', 1.0), 10: ('bedroom', 1.0), 11: ('television room', 1.0), 12: ('storage room', 1.0), 13: ('utility room', 1.0), 14: ('living room', 1.0), 15: ('bathroom', 1.0), 16: ('kitchen', 1.0), 17: ('corridor', 1.0)}"
toy food,"{1: ('home office', 1.0), 2: ('exercise room', 1.0), 3: ('bathroom', 1.0), 4: ('closet', 1.0), 5: ('corridor', 1.0), 6: ('storage room', 1.0), 7: ('pantry room', 1.0), 8: ('lobby', 1.0), 9: ('childs room', 1.0), 10: ('utility room', 1.0), 11: ('playroom', 1.0), 12: ('television room', 1.0), 13: ('living room', 1.0), 14: ('kitchen', 1.0), 15: ('dining room', 1.0), 16: ('bedroom', 1.0), 17: ('garage', 1.0)}"
toy furniture set,"{1: ('lobby', 1.0), 2: ('garage', 1.0), 3: ('closet', 1.0), 4: ('kitchen', 1.0), 5: ('bedroom', 1.0), 6: ('pantry room', 1.0), 7: ('bathroom', 1.0), 8: ('corridor', 1.0), 9: ('playroom', 1.0), 10: ('home office', 1.0), 11: ('television room', 1.0), 12: ('utility room', 1.0), 13: ('exercise room', 1.0), 14: ('storage room', 1.0), 15: ('childs room', 1.0), 16: ('dining room', 1.0), 17: ('living room', 1.0)}"
toy instrument,"{1: ('playroom', 1.0), 2: ('utility room', 1.0), 3: ('childs room', 1.0), 4: ('television room', 1.0), 5: ('home office', 1.0), 6: ('kitchen', 1.0), 7: ('bathroom', 1.0), 8: ('closet', 1.0), 9: ('exercise room', 1.0), 10: ('dining room', 1.0), 11: ('pantry room', 1.0), 12: ('bedroom', 1.0), 13: ('corridor', 1.0), 14: ('living room', 1.0), 15: ('garage', 1.0), 16: ('storage room', 1.0), 17: ('lobby', 1.0)}"
toy kitchen set,"{1: ('living room', 1.0), 2: ('utility room', 1.0), 3: ('home office', 1.0), 4: ('exercise room', 1.0), 5: ('television room', 1.0), 6: ('garage', 1.0), 7: ('pantry room', 1.0), 8: ('corridor', 1.0), 9: ('kitchen', 1.0), 10: ('childs room', 1.0), 11: ('storage room', 1.0), 12: ('closet', 1.0), 13: ('lobby', 1.0), 14: ('bathroom', 1.0), 15: ('bedroom', 1.0), 16: ('dining room', 1.0), 17: ('playroom', 1.0)}"
toy tool kit,"{1: ('playroom', 1.0), 2: ('television room', 1.0), 3: ('closet', 1.0), 4: ('lobby', 1.0), 5: ('utility room', 1.0), 6: ('home office', 1.0), 7: ('kitchen', 1.0), 8: ('childs room', 1.0), 9: ('storage room', 1.0), 10: ('dining room', 1.0), 11: ('corridor', 1.0), 12: ('exercise room', 1.0), 13: ('living room', 1.0), 14: ('garage', 1.0), 15: ('pantry room', 1.0), 16: ('bedroom', 1.0), 17: ('bathroom', 1.0)}"
toy vehicle,"{1: ('exercise room', 1.0), 2: ('television room', 1.0), 3: ('kitchen', 1.0), 4: ('lobby', 1.0), 5: ('utility room', 1.0), 6: ('closet', 1.0), 7: ('living room', 1.0), 8: ('storage room', 1.0), 9: ('childs room', 1.0), 10: ('playroom', 1.0), 11: ('pantry room', 1.0), 12: ('corridor', 1.0), 13: ('home office', 1.0), 14: ('bedroom', 1.0), 15: ('garage', 1.0), 16: ('bathroom', 1.0), 17: ('dining room', 1.0)}"
tray,"{1: ('exercise room', 1.0), 2: ('bathroom', 1.0), 3: ('playroom', 1.0), 4: ('garage', 1.0), 5: ('pantry room', 1.0), 6: ('kitchen', 1.0), 7: ('television room', 1.0), 8: ('childs room', 1.0), 9: ('utility room', 1.0), 10: ('storage room', 1.0), 11: ('bedroom', 1.0), 12: ('corridor', 1.0), 13: ('dining room', 1.0), 14: ('living room', 1.0), 15: ('lobby', 1.0), 16: ('home office', 1.0), 17: ('closet', 1.0)}"
tumbler,"{1: ('bathroom', 1.0), 2: ('playroom', 1.0), 3: ('bedroom', 1.0), 4: ('garage', 1.0), 5: ('living room', 1.0), 6: ('storage room', 1.0), 7: ('utility room', 1.0), 8: ('television room', 1.0), 9: ('kitchen', 1.0), 10: ('pantry room', 1.0), 11: ('home office', 1.0), 12: ('exercise room', 1.0), 13: ('lobby', 1.0), 14: ('closet', 1.0), 15: ('childs room', 1.0), 16: ('corridor', 1.0), 17: ('dining room', 1.0)}"
tv,"{1: ('bedroom', 1.0), 2: ('house', 1.0), 3: ('family room', 1.0)}"
tvstand,"{1: ('living room', 1.0)}"
umbrella,"{1: ('dining room', 1.0), 2: ('utility room', 1.0), 3: ('home office', 1.0), 4: ('closet', 1.0), 5: ('bathroom', 1.0), 6: ('pantry room', 1.0), 7: ('corridor', 1.0), 8: ('lobby', 1.0), 9: ('childs room', 1.0), 10: ('exercise room', 1.0), 11: ('playroom', 1.0), 12: ('bedroom', 1.0), 13: ('television room', 1.0), 14: ('living room', 1.0), 15: ('garage', 1.0), 16: ('storage room', 1.0), 17: ('kitchen', 1.0)}"
usb drive,"{1: ('pantry room', 1.0), 2: ('kitchen', 1.0), 3: ('bedroom', 1.0), 4: ('bathroom', 1.0), 5: ('corridor', 1.0), 6: ('dining room', 1.0), 7: ('storage room', 1.0), 8: ('garage', 1.0), 9: ('television room', 1.0), 10: ('exercise room', 1.0), 11: ('lobby', 1.0), 12: ('childs room', 1.0), 13: ('closet', 1.0), 14: ('utility room', 1.0), 15: ('home office', 1.0), 16: ('playroom', 1.0), 17: ('living room', 1.0)}"
utensil holder,"{1: ('lobby', 1.0), 2: ('living room', 1.0), 3: ('closet', 1.0), 4: ('pantry room', 1.0), 5: ('corridor', 1.0), 6: ('dining room', 1.0), 7: ('bedroom', 1.0), 8: ('utility room', 1.0), 9: ('kitchen', 1.0), 10: ('bathroom', 1.0), 11: ('home office', 1.0), 12: ('childs room', 1.0), 13: ('playroom', 1.0), 14: ('exercise room', 1.0), 15: ('storage room', 1.0), 16: ('television room', 1.0), 17: ('garage', 1.0)}"
vacuumcleaner,"{1: ('bedroom', 1.0)}"
vase,"{1: ('kitchen', 2.0), 2: ('living room', 2.0), 3: ('bedroom', 2.0), 4: ('television room', 1.0), 5: ('home office', 1.0), 6: ('garage', 1.0), 7: ('pantry room', 1.0), 8: ('storage room', 1.0), 9: ('bathroom', 1.0), 10: ('exercise room', 1.0), 11: ('playroom', 1.0), 12: ('corridor', 1.0), 13: ('lobby', 1.0), 14: ('closet', 1.0), 15: ('childs room', 1.0), 16: ('utility room', 1.0), 17: ('dining room', 1.0)}"
video game,"{1: ('exercise room', 1.0), 2: ('utility room', 1.0), 3: ('childs room', 1.0), 4: ('television room', 1.0), 5: ('pantry room', 1.0), 6: ('lobby', 1.0), 7: ('storage room', 1.0), 8: ('living room', 1.0), 9: ('bathroom', 1.0), 10: ('playroom', 1.0), 11: ('kitchen', 1.0), 12: ('home office', 1.0), 13: ('bedroom', 1.0), 14: ('garage', 1.0), 15: ('closet', 1.0), 16: ('corridor', 1.0), 17: ('dining room', 1.0)}"
vinyl tape,"{1: ('playroom', 1.0), 2: ('television room', 1.0), 3: ('closet', 1.0), 4: ('lobby', 1.0), 5: ('utility room', 1.0), 6: ('home office', 1.0), 7: ('kitchen', 1.0), 8: ('childs room', 1.0), 9: ('storage room', 1.0), 10: ('dining room', 1.0), 11: ('corridor', 1.0), 12: ('exercise room', 1.0), 13: ('living room', 1.0), 14: ('garage', 1.0), 15: ('pantry room', 1.0), 16: ('bedroom', 1.0), 17: ('bathroom', 1.0)}"
virtual reality viewer,"{1: ('lobby', 1.0), 2: ('exercise room', 1.0), 3: ('utility room', 1.0), 4: ('closet', 1.0), 5: ('storage room', 1.0), 6: ('playroom', 1.0), 7: ('bathroom', 1.0), 8: ('pantry room', 1.0), 9: ('kitchen', 1.0), 10: ('corridor', 1.0), 11: ('childs room', 1.0), 12: ('television room', 1.0), 13: ('garage', 1.0), 14: ('dining room', 1.0), 15: ('bedroom', 1.0), 16: ('living room', 1.0), 17: ('home office', 1.0)}"
wardrobe,"{1: ('room', 1.0)}"
washcloth,"{1: ('bathroom', 1.0), 2: ('playroom', 1.0), 3: ('storage room', 1.0), 4: ('kitchen', 1.0), 5: ('television room', 1.0), 6: ('dining room', 1.0), 7: ('childs room', 1.0), 8: ('corridor', 1.0), 9: ('garage', 1.0), 10: ('living room', 1.0), 11: ('utility room', 1.0), 12: ('bedroom', 1.0), 13: ('home office', 1.0), 14: ('exercise room', 1.0), 15: ('lobby', 1.0), 16: ('pantry room', 1.0), 17: ('closet', 1.0)}"
waste basket,"{1: ('living room', 1.0), 2: ('utility room', 1.0), 3: ('home office', 1.0), 4: ('exercise room', 1.0), 5: ('television room', 1.0), 6: ('garage', 1.0), 7: ('pantry room', 1.0), 8: ('corridor', 1.0), 9: ('kitchen', 1.0), 10: ('childs room', 1.0), 11: ('storage room', 1.0), 12: ('closet', 1.0), 13: ('lobby', 1.0), 14: ('bathroom', 1.0), 15: ('bedroom', 1.0), 16: ('dining room', 1.0), 17: ('playroom', 1.0)}"
watch,"{1: ('living room', 1.0), 2: ('bedroom', 1.0)}"
water bottle,"{1: ('television room', 1.0), 2: ('bedroom', 1.0), 3: ('lobby', 1.0), 4: ('bathroom', 1.0), 5: ('closet', 1.0), 6: ('pantry room', 1.0), 7: ('exercise room', 1.0), 8: ('utility room', 1.0), 9: ('dining room', 1.0), 10: ('home office', 1.0), 11: ('garage', 1.0), 12: ('living room', 1.0), 13: ('corridor', 1.0), 14: ('kitchen', 1.0), 15: ('storage room', 1.0), 16: ('childs room', 1.0), 17: ('playroom', 1.0)}"
wateringcan,"{1: ('living room', 1.0)}"
weight loss guide,"{1: ('television room', 1.0), 2: ('closet', 1.0), 3: ('childs room', 1.0), 4: ('lobby', 1.0), 5: ('home office', 1.0), 6: ('storage room', 1.0), 7: ('bathroom', 1.0), 8: ('bedroom', 1.0), 9: ('kitchen', 1.0), 10: ('living room', 1.0), 11: ('playroom', 1.0), 12: ('exercise room', 1.0), 13: ('corridor', 1.0), 14: ('garage', 1.0), 15: ('dining room', 1.0), 16: ('pantry room', 1.0), 17: ('utility room', 1.0)}"
